output_frame,source_rgb_frame,mapping_kind,derived_color_device_timestamp_us,cmm_fractional_frame_counter,lower_camera_timecode_id,upper_camera_timecode_id,nearest_anchor_alignment_error_ms,camera_glove_valid
179,179,camera_timecode_anchor,1788012776747985.000,275221.327715,88,88,2.730959,0
180,180,timestamp_inferred,1788012776781415.500,275225.256979,88,89,2.730959,0
181,181,camera_timecode_anchor,1788012776814846.000,275229.186243,89,89,1.552027,1
182,182,timestamp_inferred,1788012776848275.500,275233.189154,89,90,1.552027,1
183,183,camera_timecode_anchor,1788012776881705.000,275237.192065,90,90,1.600543,1
184,184,timestamp_inferred,1788012776915134.500,275241.195722,90,91,1.600543,1
185,185,camera_timecode_anchor,1788012776948564.000,275245.199378,91,91,1.661485,1
186,186,timestamp_inferred,1788012776981989.500,275249.182547,91,92,1.661485,1
187,187,camera_timecode_anchor,1788012777015415.000,275253.165717,92,92,1.380973,1
188,188,timestamp_inferred,1788012777048840.500,275257.223099,92,93,1.380973,1
189,189,camera_timecode_anchor,1788012777082266.000,275261.280481,93,93,2.337341,1
190,190,timestamp_inferred,1788012777115692.500,275265.338106,93,94,2.337341,1
191,191,camera_timecode_anchor,1788012777149119.000,275269.395731,94,94,3.297759,0
192,192,timestamp_inferred,1788012777182542.000,275273.519096,94,95,3.297759,0
193,193,camera_timecode_anchor,1788012777215965.000,275277.642461,95,95,-2.979489,1
194,194,timestamp_inferred,1788012777249390.000,275281.689259,95,96,-2.979489,1
195,195,camera_timecode_anchor,1788012777282815.000,275285.736056,96,96,-2.199532,1
196,196,timestamp_inferred,1788012777316240.000,275290.001887,96,97,-2.199532,1
197,197,camera_timecode_anchor,1788012777349665.000,275294.267717,97,97,2.230974,1
198,198,timestamp_inferred,1788012777383092.500,275298.502666,97,98,2.230974,1
199,199,camera_timecode_anchor,1788012777416520.000,275302.737616,98,98,-2.186535,1
200,200,timestamp_inferred,1788012777449948.500,275306.852313,98,99,-2.186535,1
201,201,camera_timecode_anchor,1788012777483377.000,275310.967010,99,99,-0.274920,1
202,202,timestamp_inferred,1788012777516804.250,275313.656077,99,100,-0.274920,1
203,203,timestamp_inferred,1788012777550231.750,275316.345145,99,100,0.285106,1
204,204,camera_timecode_anchor,1788012777583659.000,275319.034213,100,100,0.285106,1
205,205,camera_timecode_anchor,1788012777617081.000,275327.154713,101,101,1.289271,1
206,206,timestamp_inferred,1788012777650511.000,275329.905220,101,102,1.289271,1
207,207,timestamp_inferred,1788012777683941.000,275332.655728,101,102,3.385301,1
208,208,camera_timecode_anchor,1788012777717371.000,275335.406236,102,102,3.385301,1
209,209,timestamp_inferred,1788012777750796.000,275339.596086,102,103,3.385301,1
210,210,camera_timecode_anchor,1788012777784221.000,275343.785936,103,103,-1.783864,0
211,211,timestamp_inferred,1788012777817648.000,275347.920273,103,104,-1.783864,0
212,212,camera_timecode_anchor,1788012777851075.000,275352.054610,104,104,0.455081,1
213,213,timestamp_inferred,1788012777884500.000,275356.119060,104,105,0.455081,1
214,214,camera_timecode_anchor,1788012777917925.000,275360.183511,105,105,1.529256,1
215,215,timestamp_inferred,1788012777951354.500,275364.311860,105,106,1.529256,1
216,216,camera_timecode_anchor,1788012777984784.000,275368.440210,106,106,3.668417,1
217,217,timestamp_inferred,1788012778018210.500,275372.515403,106,107,3.668417,1
218,218,camera_timecode_anchor,1788012778051637.000,275376.590595,107,107,-3.411708,1
219,219,timestamp_inferred,1788012778085064.000,275380.420747,107,108,-3.411708,1
220,220,camera_timecode_anchor,1788012778118491.000,275384.250899,108,108,2.090827,1
221,221,timestamp_inferred,1788012778151919.500,275388.233182,108,109,2.090827,1
222,222,camera_timecode_anchor,1788012778185348.000,275392.215464,109,109,1.795535,1
223,223,timestamp_inferred,1788012778218778.000,275396.169945,109,110,1.795535,1
224,224,camera_timecode_anchor,1788012778252208.000,275400.124426,110,110,1.036880,0
225,225,timestamp_inferred,1788012778285638.000,275404.120285,110,111,1.036880,0
226,226,camera_timecode_anchor,1788012778319068.000,275408.116144,111,111,0.967868,1
227,227,timestamp_inferred,1788012778352493.000,275412.240308,111,112,0.967868,1
228,228,camera_timecode_anchor,1788012778385918.000,275416.364471,112,112,3.037259,1
229,229,timestamp_inferred,1788012778419348.500,275420.347529,112,113,3.037259,1
230,230,camera_timecode_anchor,1788012778452779.000,275424.330587,113,113,2.754889,1
231,231,timestamp_inferred,1788012778486207.500,275428.488616,113,114,2.754889,1
232,232,camera_timecode_anchor,1788012778519636.000,275432.646645,114,114,-2.944625,0
233,233,timestamp_inferred,1788012778553062.500,275436.530636,114,115,-2.944625,0
234,234,camera_timecode_anchor,1788012778586489.000,275440.414627,115,115,3.455222,1
235,235,timestamp_inferred,1788012778619920.000,275444.287560,115,116,3.455222,1
236,236,camera_timecode_anchor,1788012778653351.000,275448.160493,116,116,1.337441,1
237,237,timestamp_inferred,1788012778686780.000,275452.319585,116,117,1.337441,1
238,238,camera_timecode_anchor,1788012778720209.000,275456.478678,117,117,3.988982,1
239,239,timestamp_inferred,1788012778753636.500,275460.516660,117,118,3.988982,1
240,240,camera_timecode_anchor,1788012778787064.000,275464.554642,118,118,-3.711315,1
241,241,timestamp_inferred,1788012778820498.500,275468.669923,118,119,-3.711315,1
242,242,camera_timecode_anchor,1788012778853933.000,275472.785203,119,119,-1.789974,1
243,243,timestamp_inferred,1788012778887363.500,275476.872783,119,120,-1.789974,1
244,244,camera_timecode_anchor,1788012778920794.000,275480.960362,120,120,-0.330317,1
245,245,timestamp_inferred,1788012778954223.000,275484.967129,120,121,-0.330317,1
246,246,camera_timecode_anchor,1788012778987652.000,275488.973897,121,121,-0.217526,1
247,247,timestamp_inferred,1788012779021082.500,275493.055464,121,122,-0.217526,1
248,248,camera_timecode_anchor,1788012779054513.000,275497.137031,122,122,1.141925,1
249,249,timestamp_inferred,1788012779087941.000,275501.005432,122,123,1.141925,1
250,250,camera_timecode_anchor,1788012779121369.000,275504.873834,123,123,-1.051387,0
251,251,timestamp_inferred,1788012779154799.500,275508.759136,123,124,-1.051387,0
252,252,camera_timecode_anchor,1788012779188230.000,275512.644438,124,124,-2.963020,1
253,253,timestamp_inferred,1788012779221657.000,275516.857465,124,125,-2.963020,1
254,254,camera_timecode_anchor,1788012779255084.000,275521.070492,125,125,0.587430,1
255,255,timestamp_inferred,1788012779288513.000,275525.148904,125,126,0.587430,1
256,256,camera_timecode_anchor,1788012779321942.000,275529.227317,126,126,1.894309,1
257,257,timestamp_inferred,1788012779355370.500,275533.427524,126,127,1.894309,1
258,258,camera_timecode_anchor,1788012779388799.000,275537.627731,127,127,-3.102239,1
259,259,timestamp_inferred,1788012779422230.500,275541.765904,127,128,-3.102239,1
260,260,camera_timecode_anchor,1788012779455662.000,275545.904076,128,128,-0.799364,0
261,261,camera_timecode_anchor,1788012779489087.000,275553.991167,129,129,-0.073608,1
262,262,timestamp_inferred,1788012779522514.750,275556.673806,129,130,-0.073608,1
263,263,timestamp_inferred,1788012779555942.250,275559.356445,129,130,0.325703,1
264,264,camera_timecode_anchor,1788012779589370.000,275562.039084,130,130,0.325703,1
265,265,timestamp_inferred,1788012779622801.000,275566.450422,130,131,0.325703,1
266,266,camera_timecode_anchor,1788012779656232.000,275570.861760,131,131,-1.151996,1
267,267,timestamp_inferred,1788012779689658.000,275574.933967,131,132,-1.151996,1
268,268,camera_timecode_anchor,1788012779723084.000,275579.006174,132,132,0.051450,1
269,269,timestamp_inferred,1788012779756511.500,275582.994956,132,133,0.051450,1
270,270,camera_timecode_anchor,1788012779789939.000,275586.983737,133,133,-0.135521,1
271,271,timestamp_inferred,1788012779823367.000,275591.043522,133,134,-0.135521,1
272,272,camera_timecode_anchor,1788012779856795.000,275595.103306,134,134,0.860882,1
273,273,timestamp_inferred,1788012779890223.500,275599.157862,134,135,0.860882,1
274,274,camera_timecode_anchor,1788012779923652.000,275603.212418,135,135,1.770154,1
275,275,timestamp_inferred,1788012779957078.000,275607.211606,135,136,1.770154,1
276,276,camera_timecode_anchor,1788012779990504.000,275611.210793,136,136,1.756607,1
277,277,timestamp_inferred,1788012780023934.000,275615.231640,136,137,1.756607,1
278,278,camera_timecode_anchor,1788012780057364.000,275619.252488,137,137,2.104064,1
279,279,timestamp_inferred,1788012780090789.000,275623.301393,137,138,2.104064,1
280,280,camera_timecode_anchor,1788012780124214.000,275627.350298,138,138,2.919149,1
281,281,timestamp_inferred,1788012780157640.500,275631.510826,138,139,2.919149,1
282,282,camera_timecode_anchor,1788012780191067.000,275635.671355,139,139,-2.738711,1
283,283,timestamp_inferred,1788012780224497.500,275639.754994,139,140,-2.738711,1
284,284,camera_timecode_anchor,1788012780257928.000,275643.838633,140,140,-1.344726,1
285,285,timestamp_inferred,1788012780291353.500,275647.934358,140,141,-1.344726,1
286,286,camera_timecode_anchor,1788012780324779.000,275652.030083,141,141,0.250692,1
287,287,timestamp_inferred,1788012780358208.000,275654.728477,141,142,0.250692,1
288,288,timestamp_inferred,1788012780391637.000,275657.426871,141,142,1.043875,0
289,289,camera_timecode_anchor,1788012780425066.000,275660.125265,142,142,1.043875,0
290,290,camera_timecode_anchor,1788012780458491.000,275668.261340,143,143,2.177833,1
291,291,timestamp_inferred,1788012780491917.250,275670.975704,143,144,2.177833,1
292,292,timestamp_inferred,1788012780525343.750,275673.690069,143,144,3.370276,1
293,293,camera_timecode_anchor,1788012780558770.000,275676.404433,144,144,3.370276,1
294,294,timestamp_inferred,1788012780592200.000,275680.418672,144,145,3.370276,1
295,295,camera_timecode_anchor,1788012780625630.000,275684.432910,145,145,3.607586,1
296,296,timestamp_inferred,1788012780659055.000,275688.664815,145,146,3.607586,1
297,297,camera_timecode_anchor,1788012780692480.000,275692.896720,146,146,-0.860665,1
298,298,timestamp_inferred,1788012780725911.000,275696.993622,146,147,-0.860665,1
299,299,camera_timecode_anchor,1788012780759342.000,275701.090524,147,147,0.754369,1
300,300,timestamp_inferred,1788012780792767.500,275705.151882,147,148,0.754369,1
301,301,camera_timecode_anchor,1788012780826193.000,275709.213239,148,148,1.776993,1
302,302,timestamp_inferred,1788012780859622.500,275713.160780,148,149,1.776993,1
303,303,camera_timecode_anchor,1788012780893052.000,275717.108321,149,149,0.902671,0
304,304,timestamp_inferred,1788012780926477.000,275720.982738,149,150,0.902671,0
305,305,camera_timecode_anchor,1788012780959902.000,275724.857156,150,150,-1.190364,1
306,306,timestamp_inferred,1788012780993332.500,275728.871014,150,151,-1.190364,1
307,307,camera_timecode_anchor,1788012781026763.000,275732.884872,151,151,-0.959400,1
308,308,camera_timecode_anchor,1788012781060195.000,275741.009261,152,152,0.077171,0
309,309,timestamp_inferred,1788012781093619.250,275743.759875,152,153,0.077171,0
310,310,timestamp_inferred,1788012781127043.750,275746.510489,152,153,2.175865,1
311,311,camera_timecode_anchor,1788012781160468.000,275749.261104,153,153,2.175865,1
312,312,timestamp_inferred,1788012781193893.000,275753.245903,153,154,2.175865,1
313,313,camera_timecode_anchor,1788012781227318.000,275757.230703,154,154,1.922521,1
314,314,timestamp_inferred,1788012781260743.500,275761.235469,154,155,1.922521,1
